,GEOID
2018,17127
2021,17129
2024,17131
2027,17133
2030,17135
2033,17137
2036,17139
2039,17141
2042,17143
2045,17145
2048,17147
2051,17149
2054,17151
2057,17153
2060,17155
2063,17157
2066,17159
2069,17161
2072,17163
2075,17165
2078,17167
2081,17169
2084,17171
2087,17173
2090,17175
2093,17177
2096,17179
2099,17181
2102,17183
2105,17185
2108,17187
2111,17189
2114,17191
2117,17193
2120,17195
2123,17197
2126,17199
2129,17201
2132,17203
2138,18001
2141,18003
2144,18005
2147,18007
2150,18009
2153,18011
2156,18013
2159,18015
2162,18017
2165,18019
2168,18021
2171,18023
2174,18025
2177,18027
2180,18029
2183,18031
2186,18033
2189,18035
2192,18037
2195,18039
2198,18041
2201,18043
2204,18045
2207,18047
2210,18049
2213,18051
2216,18053
2219,18055
2222,18057
2225,18059
2228,18061
2231,18063
2234,18065
2237,18067
2240,18069
2243,18071
2246,18073
2249,18075
2252,18077
2255,18079
2258,18081
2261,18083
2264,18085
2267,18087
2270,18089
2273,18091
2276,18093
2279,18095
2282,18097
2285,18099
2288,18101
2291,18103
2294,18105
2297,18107
2300,18109
2303,18111
2306,18113
2309,18115
2312,18117
2315,18119
2318,18121
2321,18123
2324,18125
2327,18127
2330,18129
2333,18131
2336,18133
2339,18135
2342,18137
2345,18139
2348,18141
2351,18143
2354,18145
2357,18147
2360,18149
2363,18151
2366,18153
2369,18155
2372,18157
2375,18159
2378,18161
2381,18163
2384,18165
2387,18167
2390,18169
2393,18171
2396,18173
2399,18175
2402,18177
2405,18179
2408,18181
2411,18183
2417,19001
2420,19003
2423,19005
2426,19007
2429,19009
2432,19011
2435,19013
2438,19015
2441,19017
2444,19019
2447,19021
2450,19023
2453,19025
2456,19027
2459,19029
2462,19031
2465,19033
2468,19035
2471,19037
2474,19039
2477,19041
2480,19043
2483,19045
2486,19047
2489,19049
2492,19051
2495,19053
2498,19055
2501,19057
2504,19059
2507,19061
2510,19063
2513,19065
2516,19067
2519,19069
2522,19071
2525,19073
2528,19075
2531,19077
2534,19079
2537,19081
2540,19083
2543,19085
2546,19087
2549,19089
2552,19091
2555,19093
2558,19095
2561,19097
2564,19099
2567,19101
2570,19103
2573,19105
2576,19107
2579,19109
2582,19111
2585,19113
2588,19115
2591,19117
2594,19119
2597,19121
2600,19123
2603,19125
2606,19127
2609,19129
2612,19131
2615,19133
2618,19135
2621,19137
2624,19139
2627,19141
2630,19143
2633,19145
2636,19147
2639,19149
2642,19151
2645,19153
2648,19155
2651,19157
2654,19159
2657,19161
2660,19163
2663,19165
2666,19167
2669,19169
2672,19171
2675,19173
2678,19175
2681,19177
2684,19179
2687,19181
2690,19183
2693,19185
2696,19187
2699,19189
2702,19191
2705,19193
2708,19195
2711,19197
2717,20001
2720,20003
2723,20005
2726,20007
2729,20009
2732,20011
2735,20013
2738,20015
2741,20017
2744,20019
2747,20021
2750,20023
2753,20025
2756,20027
2759,20029
2762,20031
2765,20033
2768,20035
2771,20037
2774,20039
2777,20041
2780,20043
2783,20045
2786,20047
2789,20049
2792,20051
2795,20053
2798,20055
2801,20057
2804,20059
2807,20061
2810,20063
2813,20065
2816,20067
2819,20069
2822,20071
2825,20073
2828,20075
2831,20077
2834,20079
2837,20081
2840,20083
2843,20085
2846,20087
2849,20089
2852,20091
2855,20093
2858,20095
2861,20097
2864,20099
2867,20101
2870,20103
2873,20105
2876,20107
2879,20109
2882,20111
2885,20113
2888,20115
2891,20117
2894,20119
2897,20121
2900,20123
2903,20125
2906,20127
2909,20129
2912,20131
2915,20133
2918,20135
2921,20137
2924,20139
2927,20141
2930,20143
2933,20145
2936,20147
2939,20149
2942,20151
2945,20153
2948,20155
2951,20157
2954,20159
2957,20161
2960,20163
2963,20165
2966,20167
2969,20169
2972,20171
2975,20173
2978,20175
2981,20177
2984,20179
2987,20181
2990,20183
2993,20185
2996,20187
2999,20189
3002,20191
3005,20193
3008,20195
3011,20197
3014,20199
3017,20201
3020,20203
3023,20205
3026,20207
3029,20209
3035,21001
3038,21003
3041,21005
3044,21007
3047,21009
3050,21011
3053,21013
3056,21015
3059,21017
3062,21019
3065,21021
3068,21023
3071,21025
3074,21027
3077,21029
3080,21031
3083,21033
3086,21035
3089,21037
3092,21039
3095,21041
3098,21043
3101,21045
3104,21047
3107,21049
3110,21051
3113,21053
3116,21055
3119,21057
3122,21059
3125,21061
3128,21063
3131,21065
3134,21067
3137,21069
3140,21071
3143,21073
3146,21075
3149,21077
3152,21079
3155,21081
3158,21083
3161,21085
3164,21087
3167,21089
3170,21091
3173,21093
3176,21095
3179,21097
3182,21099
3185,21101
3188,21103
3191,21105
3194,21107
3197,21109
3200,21111
3203,21113
3206,21115
3209,21117
3212,21119
3215,21121
3218,21123
3221,21125
3224,21127
3227,21129
3230,21131
3233,21133
3236,21135
3239,21137
3242,21139
3245,21141
3248,21143
3251,21145
3254,21147
3257,21149
3260,21151
3263,21153
3266,21155
3269,21157
3272,21159
3275,21161
3278,21163
3281,21165
3284,21167
3287,21169
3290,21171
3293,21173
3296,21175
3299,21177
3302,21179
3305,21181
3308,21183
3311,21185
3314,21187
3317,21189
3320,21191
3323,21193
3326,21195
3329,21197
3332,21199
3335,21201
3338,21203
3341,21205
3344,21207
3347,21209
3350,21211
3353,21213
3356,21215
3359,21217
3362,21219
3365,21221
3368,21223
3371,21225
3374,21227
3377,21229
3380,21231
3383,21233
3386,21235
3389,21237
3392,21239
3398,22001
3401,22003
3404,22005
3407,22007
3410,22009
3413,22011
3416,22013
3419,22015
3422,22017
3425,22019
3428,22021
3431,22023
3434,22025
3437,22027
3440,22029
3443,22031
3446,22033
3449,22035
3452,22037
3455,22039
3458,22041
3461,22043
3464,22045
3467,22047
3470,22049
3473,22051
3476,22053
3479,22055
3482,22057
3485,22059
3488,22061
3491,22063
3494,22065
3497,22067
3500,22069
3503,22071
3506,22073
3509,22075
3512,22077
3515,22079
3518,22081
3521,22083
3524,22085
3527,22087
3530,22089
3533,22091
3536,22093
3539,22095
3542,22097
3545,22099
3548,22101
3551,22103
3554,22105
3557,22107
3560,22109
3563,22111
3566,22113
3569,22115
3572,22117
3575,22119
3578,22121
3581,22123
3584,22125
3587,22127
3593,23001
3596,23003
3599,23005
3602,23007
3605,23009
3608,23011
3611,23013
3614,23015
3617,23017
3620,23019
3623,23021
3626,23023
3629,23025
3632,23027
3635,23029
3638,23031
3644,24001
3647,24003
3650,24005
3653,24009
3656,24011
3659,24013
3662,24015
3665,24017
3668,24019
3671,24021
3674,24023
3677,24025
3680,24027
3683,24029
3686,24031
3689,24033
3692,24035
3695,24037
3698,24039
3701,24041
3704,24043
3707,24045
3710,24047
3713,24510
3719,25001
3722,25003
3725,25005
3728,25007
3731,25009
3734,25011
3737,25013
3740,25015
3743,25017
3746,25019
3749,25021
3752,25023
3755,25025
3758,25027
3764,26001
3767,26003
3770,26005
3773,26007
3776,26009
3779,26011
3782,26013
3785,26015
3788,26017
3791,26019
3794,26021
3797,26023
3800,26025
3803,26027
3806,26029
3809,26031
3812,26033
3815,26035
3818,26037
3821,26039
3824,26041
3827,26043
3830,26045
3833,26047
3836,26049
3839,26051
3842,26053
3845,26055
3848,26057
3851,26059
3854,26061
3857,26063
3860,26065
3863,26067
3866,26069
3869,26071
3872,26073
3875,26075
3878,26077
3881,26079
3884,26081
3887,26083
3890,26085
3893,26087
3896,26089
3899,26091
3902,26093
3905,26095
3908,26097
3911,26099
3914,26101
3917,26103
3920,26105
3923,26107
3926,26109
3929,26111
3932,26113
3935,26115
3938,26117
3941,26119
3944,26121
3947,26123
3950,26125
3953,26127
3956,26129
3959,26131
3962,26133
3965,26135
3968,26137
3971,26139
3974,26141
3977,26143
3980,26145
3983,26147
3986,26149
3989,26151
3992,26153
3995,26155
3998,26157
4001,26159
4004,26161
4007,26163
4010,26165
4016,27001
4019,27003
4022,27005
4025,27007
4028,27009
4031,27011
4034,27013
4037,27015
4040,27017
4043,27019
4046,27021
4049,27023
4052,27025
4055,27027
4058,27029
4061,27031
4064,27033
4067,27035
4070,27037
4073,27039
4076,27041
4079,27043
4082,27045
4085,27047
4088,27049
4091,27051
4094,27053
4097,27055
4100,27057
4103,27059
4106,27061
4109,27063
4112,27065
4115,27067
4118,27069
4121,27071
4124,27073
4127,27075
4130,27077
4133,27079
4136,27081
4139,27083
4142,27085
4145,27087
4148,27089
4151,27091
4154,27093
4157,27095
4160,27097
4163,27099
4166,27101
4169,27103
4172,27105
4175,27107
4178,27109
4181,27111
4184,27113
4187,27115
4190,27117
4193,27119
4196,27121
4199,27123
4202,27125
4205,27127
4208,27129
4211,27131
4214,27133
4217,27135
4220,27137
4223,27139
4226,27141
4229,27143
4232,27145
4235,27147
4238,27149
4241,27151
4244,27153
4247,27155
4250,27157
4253,27159
4256,27161
4259,27163
4262,27165
4265,27167
4268,27169
4271,27171
4274,27173
4280,28001
4283,28003
4286,28005
4289,28007
4292,28009
4295,28011
4298,28013
4301,28015
4304,28017
4307,28019
4310,28021
4313,28023
4316,28025
4319,28027
4322,28029
4325,28031
4328,28033
4331,28035
4334,28037
4337,28039
4340,28041
4343,28043
4346,28045
4349,28047
4352,28049
4355,28051
4358,28053
4361,28055
4364,28057
4367,28059
4370,28061
4373,28063
4376,28065
4379,28067
4382,28069
4385,28071
4388,28073
4391,28075
4394,28077
4397,28079
4400,28081
4403,28083
4406,28085
4409,28087
4412,28089
4415,28091
4418,28093
4421,28095
4424,28097
4427,28099
4430,28101
4433,28103
4436,28105
4439,28107
4442,28109
4445,28111
4448,28113
4451,28115
4454,28117
4457,28119
4460,28121
4463,28123
4466,28125
4469,28127
4472,28129
4475,28131
4478,28133
4481,28135
4484,28137
4487,28139
4490,28141
4493,28143
4496,28145
4499,28147
4502,28149
4505,28151
4508,28153
4511,28155
4514,28157
4517,28159
4520,28161
4523,28163
4529,29001
4532,29003
4535,29005
4538,29007
4541,29009
4544,29011
4547,29013
4550,29015
4553,29017
4556,29019
4559,29021
4562,29023
4565,29025
4568,29027
4571,29029
4574,29031
4577,29033
4580,29035
4583,29037
4586,29039
4589,29041
4592,29043
4595,29045
4598,29047
4601,29049
4604,29051
4607,29053
4610,29055
4613,29057
4616,29059
4619,29061
4622,29063
4625,29065
4628,29067
4631,29069
4634,29071
4637,29073
4640,29075
4643,29077
4646,29079
4649,29081
4652,29083
4655,29085
4658,29087
4661,29089
4664,29091
4667,29093
4670,29095
4673,29097
4676,29099
4679,29101
4682,29103
4685,29105
4688,29107
4691,29109
4694,29111
4697,29113
4700,29115
4703,29117
4706,29119
4709,29121
4712,29123
4715,29125
4718,29127
4721,29129
4724,29131
4727,29133
4730,29135
4733,29137
4736,29139
4739,29141
