GEO,GEOID
40099,5
40101,5
40103,5
40105,5
40107,5
40109,5
40111,5
40113,5
40115,5
40117,5
40119,5
40121,5
40123,5
40125,5
40127,5
40129,5
40131,5
40133,5
40135,5
40003,5
39175,5
38099,5
39057,5
39039,5
39041,5
39043,5
39045,5
39047,5
39049,5
39051,5
39053,5
39055,5
39059,5
39081,5
39061,5
39063,5
39065,5
39067,5
39069,5
39071,5
39073,5
39075,5
39077,5
39037,5
39035,5
39033,5
39031,5
38101,5
38103,5
38105,5
39000,5
39001,5
39003,5
39005,5
39007,5
39009,5
39011,5
39013,5
39015,5
39017,5
39019,5
39021,5
39023,5
39025,5
39027,5
39029,5
39079,5
39083,5
39173,5
39151,5
39133,5
39135,5
39137,5
39139,5
39141,5
39143,5
39145,5
39147,5
39149,5
39153,5
39085,5
39155,5
39157,5
39159,5
39161,5
39163,5
39165,5
39167,5
39169,5
39171,5
39131,5
39129,5
39127,5
39125,5
39087,5
39089,5
39091,5
39093,5
39095,5
39097,5
39099,5
39101,5
39103,5
39105,5
39107,5
39109,5
39111,5
39113,5
39115,5
39117,5
39119,5
39121,5
39123,5
36047,5
36045,5
36043,5
30011,5
29225,5
29227,5
29229,5
29510,5
30001,5
30003,5
30005,5
30007,5
30009,5
30013,5
30035,5
30015,5
30017,5
30019,5
30021,5
1001,5
30025,5
30027,5
30029,5
30031,5
29223,5
29221,5
29219,5
29217,5
29177,5
29179,5
29181,5
29183,5
29185,5
29186,5
29187,5
29189,5
29195,5
29197,5
29199,5
29201,5
29203,5
29205,5
29207,5
29209,5
29211,5
29213,5
29215,5
30033,5
30037,5
29173,5
30105,5
30087,5
30089,5
30091,5
30093,5
30095,5
30097,5
30099,5
30101,5
30103,5
30107,5
30039,5
30109,5
30111,5
31001,5
31003,5
31005,5
31007,5
31009,5
31011,5
31013,5
30085,5
30083,5
30081,5
30079,5
30041,5
30043,5
30045,5
30047,5
30049,5
30051,5
30053,5
30055,5
30057,5
30059,5
30061,5
30063,5
30065,5
30067,5
30069,5
30071,5
30073,5
30075,5
30077,5
29175,5
29171,5
36041,5
29053,5
29035,5
29037,5
29039,5
29041,5
29043,5
29045,5
29047,5
29049,5
29051,5
29055,5
29077,5
29057,5
29059,5
29061,5
29063,5
29065,5
29067,5
29069,5
29071,5
29073,5
29033,5
29031,5
29029,5
29027,5
28153,5
28155,5
28157,5
28159,5
28161,5
28163,5
29001,5
29003,5
29005,5
29007,5
29009,5
29011,5
29013,5
29015,5
29017,5
29019,5
29021,5
29023,5
29025,5
29075,5
29079,5
29169,5
29147,5
29129,5
29131,5
29133,5
29135,5
29137,5
29139,5
29141,5
29143,5
29145,5
29149,5
29081,5
29151,5
29153,5
29155,5
29157,5
29159,5
29161,5
29163,5
29165,5
29167,5
29127,5
29125,5
29123,5
29121,5
29083,5
29085,5
